Year,Thunnus atlanticus,Panulirus argus,Coryphaena hippurus,Mugil cephalus
1950,NA,NA,NA,NA
1951,NA,NA,NA,NA
1952,NA,NA,NA,NA
1953,NA,NA,NA,NA
1954,NA,NA,NA,NA
1955,NA,NA,NA,NA
1956,NA,NA,NA,NA
1957,NA,NA,NA,NA
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1963,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,NA,NA,NA,NA
1967,NA,NA,NA,NA
1968,NA,NA,NA,NA
1969,NA,NA,NA,NA
1970,NA,NA,NA,NA
1971,NA,NA,NA,NA
1972,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,26890
1976,NA,NA,NA,26734
1977,NA,NA,NA,26499
1978,NA,NA,NA,26106
1979,NA,NA,NA,25633
1980,NA,NA,NA,25160
1981,NA,NA,NA,23894
1982,NA,NA,NA,23262
1983,NA,430,NA,22948
1984,NA,420,NA,22634
1985,NA,414,NA,22320
1986,NA,426,NA,22084
1987,NA,484,NA,21215
1988,NA,581,NA,19314
1989,38.89,656,NA,16938
1990,1333.33,672,NA,15354
1991,694.44,697,NA,14881
1992,161.11,677,47.02,15043
1993,133.33,723,50.37,15364
1994,194.44,762,57.23,16001
1995,194.44,791,67.77,16004
1996,1105.56,771,55,14976
1997,988.89,747,61.22,13789
1998,905.56,736,50.53,13555
1999,27.78,719,55,14668
2000,138.89,695,48.14,14275
2001,683.33,666,51.65,12691
2002,944.44,657,49.1,NA
2003,116.67,680,66.49,NA
2004,250,684,51.97,NA
2005,283.33,652,47.98,NA
2006,133.33,664,51.17,NA
2007,138.89,724,51.81,NA
2008,72.22,788,51.65,NA
2009,27.78,818,54.2,NA
2010,NA,845,49.89,NA
2011,NA,882,53.72,NA
2012,NA,923,54.68,NA
2013,NA,907,61.38,NA
2014,NA,938,66.97,NA
2015,NA,920,59.31,NA
2016,NA,882,60.74,NA
2017,NA,NA,43.99,NA
2018,NA,NA,46.86,NA
2019,NA,NA,45.11,NA
